Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
16101128,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"Yancey, Rick",,"=""0399162410""","=""9780399162411""",4,4.13,G.P. Putnam's Sons Books for Young Readers,Hardcover,457,2013,2013,2016/03/07,2016/03/07,,,read,,,,,,,0,,,,,
22290,Invisible Monsters,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0099285444""","=""9780099285441""",5,4.00,Vintage,Paperback,297,2000,1999,2016/02/26,2016/02/26,,,read,,,,,,,0,,,,,
23654204,Fogadj el!,Rácz-Stefán Tibor,"Tibor, Rácz-Stefán",,"=""""","=""9789633992661""",4,3.79,Könyvmolyképző Kiadó,Paperback,304,2014,2014,2016/02/24,2016/02/24,,,read,,,,,,,0,,,,,
17833493,"When It Rains (Rains, #1)",Lisa De Jong,"Jong, Lisa De",,"=""""","=""""",5,4.29,,ebook,337,2013,2013,2016/02/21,2016/02/21,,,read,,,,,,,0,,,,,
28105469,Kezdjetek el élni!,Katalin Róbert,"Róbert, Katalin",,"=""""","=""9789633995112""",5,4.25,Könyvmolyképző,Paperback,296,2015,2015,2016/02/17,2016/02/16,,,read,,,,,,,0,,,,,
18879761,I Was Here,Gayle Forman,"Forman, Gayle",,"=""0451471474""","=""9780451471475""",4,3.79,Viking Juvenile,Hardcover,270,2015,2015,2016/02/18,2016/02/16,,,read,,,,,,,0,,,,,
2761356,The Sweet Gum Tree,Katherine Allred,"Allred, Katherine",,"=""1419953249""","=""9781419953248""",0,4.30,Ellora's Cave,Paperback,314,2005,2005,,2016/01/28,to-read,to-read (#40),to-read,,,,,,,0,,,,,
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,"=""0307592731""","=""9780307592736""",5,3.95,Knopf,Hardcover,315,2012,2012,2016/01/27,2016/01/11,,,read,,,,,,,0,,,,,
13505655,"Lovely, Dark and Deep",Amy McNamara,"McNamara, Amy",,"=""144243435X""","=""9781442434356""",0,3.88,Simon & Schuster Books for Young Readers,Hardcover,342,2012,2012,,2016/01/08,to-read,to-read (#39),to-read,,,,,,,0,,,,,
10191879,The Survival Kit,Donna Freitas,"Freitas, Donna",,"=""0374399174""","=""9780374399177""",0,4.00,"Farrar, Straus and Giroux (BYR)",Hardcover,351,2011,2013,,2016/01/08,to-read,to-read (#38),to-read,,,,,,,0,,,,,
24535299,Unwritten Letters to You,Todd B. LaBerge,"LaBerge, Todd B.",,"=""""","=""""",5,4.26,,Kindle Edition,240,2015,2015,2016/02/05,2016/01/06,,,read,,,,,,,0,,,,,
10345927,"A Million Suns (Across the Universe, #2)",Beth Revis,"Revis, Beth",,"=""159514398X""","=""9781595143983""",4,4.05,Razorbill,Hardcover,386,2012,2012,2016/01/04,2016/01/05,,,read,,,,,,,0,,,,,
923950,The Highly Sensitive Person: How to Thrive When the World Overwhelms You,Elaine N. Aron,"Aron, Elaine N.",,"=""0553062182""","=""9780553062182""",0,3.87,Harmony,Paperback,232,1997,1996,,2015/03/28,to-read,to-read (#37),to-read,,,,,,,0,,,,,
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1250012570""","=""9781250012579""",0,4.12,St. Martin's Press,Hardcover,328,2013,2013,,2014/12/27,to-read,to-read (#36),to-read,,,,,,,0,,,,,
17727279,"Present Perfect (Perfect, #1)",Alison G. Bailey,"Bailey, Alison G.",,"=""""","=""""",0,4.08,Alison G. Bailey,Kindle Edition,420,2013,2013,,2014/12/13,to-read,to-read (#35),to-read,,,,,,,0,,,,,
17381391,In the Stillness,Andrea Randall,"Randall, Andrea",,"=""""","=""""",0,4.10,CreateSpace,Kindle Edition,449,2013,2013,,2014/12/13,to-read,to-read (#34),to-read,,,,,,,0,,,,,
22616635,"Puddle Jumping (Puddle Jumping, #1)",Amber L.  Johnson,"Johnson, Amber L.",,"=""""","=""""",0,4.33,Self Pub,Kindle Edition,127,2014,2014,,2014/12/13,to-read,to-read (#33),to-read,,,,,,,0,,,,,
18331807,"Vain (The Seven Deadly, #1)",Fisher Amelie,"Amelie, Fisher",,"=""""","=""""",0,4.26,Fisher Amelie,Kindle Edition,390,2013,2012,,2014/12/13,to-read,to-read (#32),to-read,,,,,,,0,,,,,
15717943,"Hopeless (Hopeless, #1)",Colleen Hoover,"Hoover, Colleen",,"=""1301949825""","=""9781301949823""",0,4.35,,ebook,410,2012,2012,,2014/11/25,to-read,to-read (#31),to-read,,,,,,,0,,,,,
16151178,The Sea of Tranquility,Katja Millay,"Millay, Katja",,"=""""","=""""",5,4.36,Atria Books,Kindle Edition,426,2012,2012,2014/11/17,2014/09/23,,,read,,,,,,,0,,,,,
21854430,The Boy Who Was Afraid of the World,Jamie Bowlby-Whiting,"Bowlby-Whiting, Jamie",,"=""""","=""9781310389863""",0,4.21,Smashwords Edition,ebook,329,2014,2014,,2014/06/27,to-read,to-read (#30),to-read,,,,,,,0,,,,,
3867,The History of Love,Nicole Krauss,"Krauss, Nicole",,"=""0393328627""","=""9780393328622""",0,3.91,Norton,Paperback,255,2006,2005,,2014/01/10,to-read,to-read (#29),to-read,,,,,,,0,,,,,
22232,"Stargirl (Stargirl, #1)",Jerry Spinelli,"Spinelli, Jerry",,"=""0439488400""","=""9780439488402""",0,3.74,Scholastic,Paperback,186,2002,2000,,2013/11/02,to-read,to-read (#28),to-read,,,,,,,0,,,,,
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""0525478817""","=""9780525478812""",0,4.29,Dutton Books,Hardcover,313,2012,2012,,2013/11/02,to-read,to-read (#27),to-read,,,,,,,0,,,,,
10112885,Night Film,Marisha Pessl,"Pessl, Marisha",,"=""140006788X""","=""9781400067886""",0,3.77,Random House,Hardcover,602,2013,2013,,2013/11/02,to-read,to-read (#26),to-read,,,,,,,0,,,,,
13624688,The Time Keeper,Mitch Albom,"Albom, Mitch",,"=""1401322786""","=""9781401322786""",4,3.84,Hachette Books,Hardcover,224,2012,2012,,2013/10/25,,,read,,,,,,,0,,,,,
16068905,Fangirl,Rainbow Rowell,"Rowell, Rainbow",,"=""""","=""""",4,4.14,St. Martin's Press,Kindle Edition,445,2013,2013,2016/01/11,2013/10/16,,,read,,,,,,,0,,,,,
9684523,Caleb's Crossing,Geraldine Brooks,"Brooks, Geraldine",,"=""0670021040""","=""9780670021048""",0,3.80,Viking,Hardcover,300,2011,2011,,2013/09/16,to-read,to-read (#25),to-read,,,,,,,0,,,,,
6556855,Chasing Brooklyn,Lisa Schroeder,"Schroeder, Lisa",,"=""1416991689""","=""9781416991687""",0,4.09,Simon Pulse,Hardcover,412,2010,2009,,2013/04/06,to-read,to-read (#25),to-read,,,,,,,0,,,,,
7664334,Amy & Roger's Epic Detour,Morgan Matson,"Matson, Morgan",,"=""1416990658""","=""9781416990659""",0,4.05,Simon & Schuster Books for Young Readers,Hardcover,344,2010,2010,2014/01/17,2013/04/06,,,read,,,,,,,0,,,,,
73086,Kiss an Angel,Susan Elizabeth Phillips,"Phillips, Susan Elizabeth",,"=""0380782332""","=""9780380782338""",0,4.21,Avon,Paperback,384,1996,1996,,2013/04/06,to-read,to-read (#23),to-read,,,,,,,0,,,,,
2800905,"The Summoning (Darkest Powers, #1)",Kelley Armstrong,"Armstrong, Kelley",,"=""0061662690""","=""9780061662690""",0,4.03,HarperCollins,Hardcover,390,2008,2008,,2013/04/06,to-read,to-read (#22),to-read,,,,,,,0,,,,,
7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416975861""","=""9781416975861""",0,4.33,"Simon & Schuster, Margaret K. McElderry ",Hardcover,479,2010,2010,,2013/04/06,to-read,to-read (#21),to-read,,,,,,,0,,,,,
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416914285""","=""9781416914280""",0,4.12,Margaret K. McElderry Books,Hardcover,485,2007,2007,,2013/04/06,to-read,to-read (#20),to-read,,,,,,,0,,,,,
7192753,"The Buddha and the Borderline: My Recovery from Borderline Personality Disorder through Dialectical Behavior Therapy, Buddhism, and Online Dating",Kiera Van Gelder,"Gelder, Kiera Van",,"=""157224710X""","=""9781572247109""",0,4.04,New Harbinger Publications,Paperback,248,2010,2010,,2013/04/05,to-read,to-read (#19),to-read,,,,,,,0,,,,,
4732517,Far from You,Lisa Schroeder,"Schroeder, Lisa",,"=""1416975063""","=""9781416975069""",0,4.08,Simon Pulse,Hardcover,355,2008,2008,,2013/04/05,to-read,to-read (#18),to-read,,,,,,,0,,,,,
764347,"Unwind (Unwind, #1)",Neal Shusterman,"Shusterman, Neal",,"=""1416912045""","=""9781416912040""",0,4.19,Simon & Schuster Books for Young Readers,Hardcover,335,2007,2007,,2013/04/05,to-read,to-read (#17),to-read,,,,,,,0,,,,,
1902241,"The Adoration of Jenna Fox (Jenna Fox Chronicles, #1)",Mary E. Pearson,"Pearson, Mary E.",,"=""0805076689""","=""9780805076684""",0,3.70,Henry Holt and Co.,Hardcover,266,2008,2008,,2013/04/05,to-read,to-read (#17),to-read,,,,,,,0,,,,,
15104774,Védett férfiak,Robert Merle,"Merle, Robert",Ádám Réz,"=""""","=""9789630788908""",4,4.16,Európa,Hardcover,492,2010,1974,,2013/03/24,,,read,,,,,,,0,,,,,
24765,"Specials (Uglies, #3)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865406""","=""9780689865404""",4,3.77,Simon Pulse,Hardcover,384,2006,2006,2013/03/23,2013/03/19,,,read,,,,,,,0,,,,,
24768,"Pretties (Uglies, #2)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865392""","=""9780689865398""",4,3.86,Simon & Schuster Simon Pulse,Paperback,370,2005,2005,2013/03/19,2013/03/18,,,read,,,,,,,0,,,,,
